NUMERO_CASO,NUMERO_BANCO,NOME_BANCO,NUMERO_AGENCIA,NUMERO_CONTA,TIPO,NOME_TITULAR,CPF_CNPJ_TITULAR,DESCRICAO_LANCAMENTO,CNAB,DATA_LANCAMENTO,NUMERO_DOCUMENTO,NUMERO_DOCUMENTO_TRANSACAO,LOCAL_TRANSACAO,VALOR_TRANSACAO,NATUREZA_LANCAMENTO,VALOR_SALDO,NATUREZA_SALDO,CPF_CNPJ_OD,NOME_PESSOA_OD,TIPO_PESSOA_OD,NUMERO_BANCO_OD,NUMERO_AGENCIA_OD,NUMERO_CONTA_OD,OBSERVACAO
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TARIFA DE MANUTENCAO DE CONTA,105,03/02/2009,90203,90203,,20,D,"11,01",C,XXXXn,,,0,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,DEPOSITO BLOQUEAD.20DIAS UTEIS,205,13/02/2009,1,1,,"11,01",*,"11,01",C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TRANSFERENCIA,117,13/02/2009,1,1,,"11,01",D,0,C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,DESBLOQUEIO DE DEPOSITO,201,17/02/2009,15580001,15580001,,"11,01",C,"11,01",C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TRANSFERENCIA DE SALDO,104,17/02/2009,315500500,315500500,,"11,01",D,0,C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,REMUNERACAO SOBRE ACOES,210,18/02/2009,110510600003824,110510600003824,,"125,2",C,"125,2",C,XXXX1279067000079,MAC FRITZ-CARLOS PARTICIPACOES,2.0,1,9868,59195.0,PAGAMENTO DE RENDIMENTOS
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,REMUNERACAO SOBRE ACOES,210,19/02/2009,100491000047137,100491000047137,,"125,2",C,"250,4",C,XXXX1279067000079,MAC FRITZ-CARLOS PARTICIPACOES,2.0,1,9868,59195.0,PAGAMENTO DE RENDIMENTOS
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,ESTORNO ACERTO-CREDITO,103,19/02/2009,110510600003825,110510600003825,,"125,2",D,"125,2",C,XXXX1279067000079,MAC FRITZ-CARLOS PARTICIPACOES,2.0,1,9868,59195.0,PAGAMENTO DE RENDIMENTOS
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TARIFA DE MANUTENCAO DE CONTA,105,03/03/2009,90303,90303,,20,D,"105,2",C,XXXXn,,,0,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,MOVIMENTO DO DIA,104,24/03/2009,90324,90324,,30,D,"75,2",C,XXXXn,,,0,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TARIFA DE MANUTENCAO DE CONTA,105,02/04/2009,90402,90402,,20,D,"55,2",C,XXXXn,,,0,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,DEPOSITO BLOQUEAD.20DIAS UTEIS,205,15/04/2009,1,1,,"55,2",*,"55,2",C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TRANSFERENCIA,117,15/04/2009,1,1,,"55,2",D,0,C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,REMUNERACAO SOBRE ACOES,210,27/04/2009,101141000044686,101141000044686,,"3,41",C,"3,41",C,XXXX2016216500090,BAMM BAMM RUBBLE PARTICIPACOES,2.0,1,9868,66433.0,PAGAMENTO DE RENDIMENTOS
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TARIFA DE MANUTENCAO DE CONTA,105,08/09/2009,852510901636046,852510901636046,,"3,41",D,0,C,XXXXn,,,0,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,REMUNERACAO SOBRE ACOES,210,30/10/2009,103021200016736,103021200016736,,"83,15",C,"83,15",C,XXXX1279067000079,MAC FRITZ-CARLOS PARTICIPACOES,2.0,1,9868,59195.0,PAGAMENTO DE RENDIMENTOS
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,REMUNERACAO SOBRE ACOES,210,30/10/2009,103021200016736,103021200016736,,"26,09",C,"109,24",C,XXXX1279067000079,MAC FRITZ-CARLOS PARTICIPACOES,2.0,1,9868,59195.0,PAGAMENTO DE RENDIMENTOS
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,MOVIMENTO DO DIA,104,30/10/2009,853030902299673,853030902299673,,30,D,"79,24",C,XXXXn,,,0,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,DEPOSITO BLOQUEAD.20DIAS UTEIS,205,04/11/2009,1,1,,"79,24",*,"79,24",C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,TRANSFERENCIA,117,04/11/2009,1,1,,"79,24",D,0,C,XXXXn,,,1,0,0.0,
001-MPF-000000-00,1,Banco do Brasil,929,59137,1,ASTRONALFAS SA ASTRONOMIA,11223397000199,DESBLOQUEIO DE DEPOSITO,201,06/11/2009,17350001,17350001,,"79,24",C,"79,24",C,XXXXn,,,1,0,0.0,
