pedido,requisicao,operadora,nome_origem,cpf_cnpj_raiz_origem,cpf_cnpj_origem,terminal_1_originador,codigo_pais_origem,codigo_ddd_origem,numero_origem,nome_destino,cpf_cnpj_raiz_destino,cpf_cnpj_destino,terminal_2_recebedor,codigo_pais_destino,codigo_ddd_destino,numero_destino,data_inicio,gmt_inicio,duracao_hhmmss,duracao_segundos
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-10-31 21:22:48,GMT-02,41,41
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-03 12:02:21,GMT-02,36,36
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-11-05 17:41:55,GMT-02,146,106
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-05 17:57:02,GMT-02,27,27
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-05 18:26:21,GMT-02,0,0
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-11-06 21:22:24,GMT-02,212,132
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-11-07 19:02:09,GMT-02,126,86
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-07 20:07:54,GMT-02,56,56
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-08 19:55:17,GMT-02,59,59
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-09 13:35:08,GMT-02,105,65
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-10 11:46:41,GMT-02,20,20
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-10 11:47:22,GMT-02,0,0
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-10 11:47:29,GMT-02,104,64
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-11 17:03:44,GMT-02,34,34
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX056,55,11,XXXXX056,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2010-11-11 19:54:17,GMT-03,2,2
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX056,55,11,XXXXX056,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2010-11-11 19:55:25,GMT-03,2,2
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX056,55,11,XXXXX056,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2010-11-11 19:56:07,GMT-03,2,2
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX256,55,11,XXXXX256,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2010-11-13 19:07:29,GMT-03,2,2
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX256,55,11,XXXXX256,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2010-11-21 18:31:13,GMT-03,2,2
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX256,55,11,XXXXX256,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2010-11-21 18:33:50,GMT-03,2,2
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-23 15:54:15,GMT-02,224,144
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-23 15:59:17,GMT-02,32,32
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-11-23 18:56:57,GMT-02,54,54
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-23 20:01:02,GMT-02,25,25
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-24 10:30:43,GMT-02,30,30
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-24 18:37:30,GMT-02,109,69
